MovieName,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3,GrossCollection,Certification,votes
The Dark Knight, Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine,Action, Crime, Drama,534.86,PG-13 ,"27,31,198"
The Lord of the Rings: The Return of the King, Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom,Action, Adventure, Drama,377.85,PG-13 ,"18,93,924"
Spider-Man: Across the Spider-Verse, Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez,Animation, Action, Adventure,Nan,PG ,"1,59,401"
Inception, Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe,Action, Adventure, Sci-Fi,292.58,PG-13 ,"24,23,720"
The Lord of the Rings: The Fellowship of the Ring, Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean,Action, Adventure, Drama,315.54,PG-13 ,"19,22,392"
The Lord of the Rings: The Two Towers, Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom,Action, Adventure, Drama,342.55,PG-13 ,"17,09,229"
The Matrix, Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving,Action, Sci-Fi,Nan,171.48,R ,"19,65,551"
Star Wars: Episode V - The Empire Strikes Back, Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams,Action, Adventure, Fantasy,290.48,PG ,"13,26,139"
Soorarai Pottru, Suriya, Paresh Rawal, Aparna Balamurali, Urvashi,Action, Drama,Nan,Nan,TV-MA ,"1,19,816"
Terminator 2: Judgment Day, Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick,Action, Sci-Fi,Nan,204.84,R ,"11,27,644"
Star Wars: Episode IV - A New Hope, Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness,Action, Adventure, Fantasy,322.74,PG ,"13,98,385"
Seven Samurai, Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki,Action, Drama,Nan,0.27,Not Rated ,"3,53,984"
Harakiri, Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba,Action, Drama, Mystery,Nan,Not Rated ,"61,594"
Sita Ramam, Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth,Action, Drama, Mystery,Nan,U ,"60,896"
Gladiator, Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed,Action, Adventure, Drama,187.71,R ,"15,41,764"
Léon: The Professional, Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello,Action, Crime, Drama,19.5,R ,"11,93,887"
Spider-Man: Into the Spider-Verse, Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali,Animation, Action, Adventure,190.24,PG ,"5,99,055"
Indiana Jones and the Raiders of the Lost Ark, Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies,Action, Adventure,Nan,248.16,PG ,"9,94,511"
Avengers: Endgame, Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth,Action, Adventure, Drama,858.37,PG-13 ,"11,88,714"
